02-11-2020,00.00,00.00,00.00
03-11-2020,11.06,11.51,0.44
04-11-2020,07.36,10.53,3.16
05-11-2020,07.54,11.55,4.0
06-11-2020,07.00,17.18,10.18
07-11-2020,08.44,09.45,1.0
09-11-2020,07.43,12.35,4.51
10-11-2020,07.57,16.21,8.23
11-11-2020,00.00,00.00,00.00
12-11-2020,08.30,12.42,4.11
13-11-2020,07.00,15.32,8.32
14-11-2020,07.00,10.13,3.13
16-11-2020,00.00,00.00,00.00
17-11-2020,11.44,14.20,2.35
18-11-2020,09.42,13.45,4.2
19-11-2020,09.50,16.28,6.37
20-11-2020,11.16,15.46,4.29
21-11-2020,08.11,08.11,00.00
23-11-2020,09.21,12.58,3.36
24-11-2020,09.28,14.36,5.7
